LONGITUD,LATITUD,ACTIVIDAD,TIPO,ESTADO
-76.41,-11.0101,Mineria,ITS,Aprobado
-72.29470316,-16.6699591,Residuos Solidos,Clasificacion,Aprobado
-73.25294653,-14.944578,Mineria,ITS,Aprobado
-73.1811626,-14.72063189,Mineria,ITS,Aprobado
-81.0128,-3.6152,Hidrocarburos,ITS,Aprobado
-81.1425,-4.882,Hidrocarburos,ITS,Aprobado
-76.728,-6.9977,Electricidad,Clasificacion,Aprobado
-70.4367,-13.5767,Electricidad,ITS,Aprobado
-76.1745,-13.7791,Mineria,ITS,Aprobado
-75.78693391,-11.66495551,Mineria,Clasificacion,Aprobado
-70.86,-17.2312,Electricidad,Clasificacion,Aprobado
-78.13050296,-7.89209965,Mineria,MEIA-d,Aprobado
-77.00782994,-11.93047596,Electricidad,Clasificacion,Aprobado
-79.79244152,-6.87826576,Mineria,ITS,Aprobado
-76.20433685,-9.89067892,Electricidad,Clasificacion,Aprobado
-71.43007268,-14.80904508,Transportes,Clasificacion,Aprobado
-74.22057003,-13.11709241,Electricidad,ITS,Aprobado
-81.30185925,-4.57974246,Hidrocarburos,ITS,Aprobado
-77.47228628,-10.95418573,Agricultura,Clasificacion,Aprobado
-70.32541821,-14.22957477,Mineria,ITS,Aprobado
-72.93665084,-11.82351803,Hidrocarburos,ITS,Aprobado
-77.44635503,-8.03887574,Mineria,Clasificacion,Aprobado
-77.078,-9.5,Mineria,ITS,Aprobado
-69.8115,-17.8159,Mineria,ITS,Aprobado
-80.4105,-5.905,Hidrocarburos,ITS,Aprobado
-78.1362,-7.8953,Mineria,ITS,Aprobado
-71.5902,-16.5532,Mineria,ITS,Aprobado
-76.41,-11.0101,Mineria,ITS,Aprobado
-72.87995689,-11.80956715,Hidrocarburos,ITS,Aprobado
-77.12833123,-12.04393705,Mineria,ITS,Aprobado
-76.59507001,-12.69745209,Mineria,ITS,Aprobado
-76.4582175,-9.31037971,Electricidad,Clasificacion,Aprobado
-76.7728,-11.9688,Electricidad,Clasificacion,Aprobado
-78.4859,-6.9761,Mineria,ITS,Aprobado
-79.98636081,-5.24037274,Transportes,ITS,Aprobado
-71.6976,-13.6952,Electricidad,MEIA-d,Aprobado
-75.5447,-13.6417,Hidrocarburos,ITS,Aprobado
-71.5902,-16.5532,Mineria,MEIA-d,Aprobado
-73.07243163,-12.47109053,Hidrocarburos,ITS,Aprobado
-73.30088121,-11.69191344,Hidrocarburos,ITS,Aprobado
-72.94742008,-11.83876767,Hidrocarburos,ITS,Aprobado
